work_id,author_hash,category,str_work_id
3103826,1aecb0b28baa374aa247d5f180339ca3,499,9999   3103826
5834200,9ab178238fa640feee9c4dac6420f0d5,643,9998   5834200
7470267,7c9a45cf43b190d4830a6d874fd7d6c2,298,9997   7470267
4807733,874b1ced8b6f655933141885bdb73520,1082,9996   4807733
4571358,ce1b7ef93f3cf1347e74c4f87c4592a1,5,9995   4571358
10191302,14a6c1f253f213b027f9f5487dc68982,1649,9994  10191302
14845740,8fb817edb8f13ba9f701e5ff5ae29ec4,213,9993  14845740
12410085,4915b5bc2a3eff58e0ba6372af6351ee,123,9992  12410085
3121919,3c810e8df62450eec51d3a26b60a7aee,809,9991   3121919
629465,78b11cedfc3e479717ba94b4ad6d6a7e,235,9990    629465
2687138,7a83e2eaf1ea99b54e15934e4104de2f,737,999    2687138
2431745,8ca28af90e25c0051994e79e81be2d24,580,9989   2431745
176922,9f16cc95cc76439a64c938543b818235,900,9988    176922
6075558,033b27db4f7999ce3fd6010bc1abc7c6,1475,9987   6075558
9872609,14a6c1f253f213b027f9f5487dc68982,493,9986   9872609
763988,db4388cfb605f9b6c9d5f658c419b0b5,1617,9985    763988
2813195,b0d86da2d5b3aa15b61df214489f7c12,5,9984   2813195
197516,69fedfbb251bc9c8073f7efd55adaa38,491,9983    197516
4862195,957802b59223d7e3e31078ac1c47cf23,353,9982   4862195
5693311,e03d59e479643e5d4f4ffd9e80a6dc20,62,9981   5693311
8516611,f5b766b64faa07f360a1af2a0bfb0ac9,832,9980   8516611
745755,08890aade8352f3ee98de729cbec66a9,835,998     745755
1158042,8b71d1f5951ea9fb6c482ef694ec2827,578,9979   1158042
1030936,33440947df22853a3128ebfde63097d5,5,9978   1030936
2272182,f1f3c1e7085b646846fbca876faad7b4,1082,9977   2272182
1036564,4921318a9b72ea39b1e84d91ba3584d2,1013,9976   1036564
10809309,ebc3fb5d1b1f36f946e5cb1e128166f3,171,9975  10809309
2423624,fd02bd8dc978ebeb8ee07fd341fba8d8,680,9974   2423624
10494288,f196a58ca36a35598d473c381d674ffd,5,9973  10494288
8169346,2be4448f0345f9a276aba702e0f30db8,68,9972   8169346
9621113,Anonymous,557,9971   9621113
14015109,e45688a6ad1686224582539c724dca36,780,9970  14015109
2228649,f295553aacb2dd04e47c98879a4edaca,1314,997    2228649
3492515,a2f3108624d8bb18d108be494d0a5c7f,1374,9969   3492515
10952250,6d38bdc54e84e26300adc6c591fd4c94,362,9968  10952250
186341,81042209d041165c9c28c541b03e837f,994,9967    186341
2802869,a0bdc164e1b8216433643ea2d4028276,481,9966   2802869
242769,0e44599f770c7bd0ddf7409247536e45,303,9965    242769
4204830,2521e7e751679ebab8898912a4991389,1402,9964   4204830
411949,59c6b2d15aabe6f38ccbbaa173bfddaf,140,9963    411949
664771,2d11ce9a2b387964edc4b6a85f40d36f,424,9962    664771
12414744,4915b5bc2a3eff58e0ba6372af6351ee,657,9961  12414744
1798216,e45688a6ad1686224582539c724dca36,1264,9960   1798216
1126978,c780896238272c904a828dea6dda6d6e,5,996    1126978
